Descripción;ene-23;feb-23;mar-23;Total
        PIAGGIO VESPA VBA1M;1;;;1
Subtotal: PIAGGIO;14;5;18;37
;;;;
SYM;;;;
        SYM CITYCOM 300;11;6;8;25
        SYM FIDDLE II 150 S;2;2;2;6
        SYM SYMPHONY 125;1;2;;3
        SYM CROX 125;1;1;;2
Subtotal: SYM;15;11;10;36
;;;;
LUCKY LION;;;;
        LUCKY LION LUNA-MOON;7;5;7;19
        LUCKY LION S1-AIR;5;;2;7
        LUCKY LION F 10-ITALIAN;;3;;3
        LUCKY LION F11-STAR;;2;;2
        LUCKY LION DINAMIC 0.8KW;1;;;1
        LUCKY LION EB 93-DINAMIC;;;1;1
        LUCKY LION ET09;1;;;1
Subtotal: LUCKY LION;14;10;10;34
;;;;
TRIUMPH;;;;
        TRIUMPH SPEED TWIN;1;1;5;7
        TRIUMPH STREET TWIN 900;3;;1;4
        TRIUMPH BONNEVILLE BOBBER 1200;1;;1;2
        TRIUMPH BONNEVILLE SPEEDMASTER;;1;1;2
        TRIUMPH BONNEVILLE T100;1;;1;2
        TRIUMPH BONNEVILLE T120;1;;1;2
        TRIUMPH ROCKET 3 GT;1;;;1
        TRIUMPH SCRAMBLER 1200 XE;1;;;1
        TRIUMPH TIGER 900;1;;;1
        TRIUMPH TIGER 900 RALLY;;1;;1
        TRIUMPH TIGER SPORT;;;1;1
Subtotal: TRIUMPH;10;3;11;24
;;;;
BMW;;;;
        BMW R 1250 GS;1;1;4;6
        BMW R 1250 GS ADVENTURE;1;;2;3
        BMW S 1000 XR;1;1;1;3
        BMW S 1000 RR;;;2;2
        BMW R 18;;1;;1
        BMW R100RS;;1;;1
Subtotal: BMW;3;4;9;16
;;;;
YADEA;;;;
        YADEA S-LIKE;3;5;7;15
Subtotal: YADEA;3;5;7;15
;;;;
PUMA;;;;
        PUMA CUARTA SERIE;2;;1;3
        PUMA PUMA 98;;;2;2
        PUMA 1960;;1;;1
        PUMA 1961;1;;;1
        PUMA 1966;;1;;1
        PUMA 5° SERIE;;1;;1
        PUMA PRIMERA SERIE;;;1;1
        PUMA SEGUNDA SERIE;;;1;1
        PUMA SERIE 2;;;1;1
        PUMA SUPERSPORT;;1;;1
Subtotal: PUMA;3;4;6;13
;;;;
SIAMBRETTA;;;;
        SIAMBRETTA 175 TV;2;;;2
        SIAMBRETTA 125 LD;1;;;1
        SIAMBRETTA 125 STANDAR;1;;;1
        SIAMBRETTA 1958;1;;;1
        SIAMBRETTA INOCCENTI SIAM 48;;1;;1
        SIAMBRETTA SIAMBRETTA LD 125 STD;1;;;1
        SIAMBRETTA STANDARD;1;;;1
        SIAMBRETTA TV 175;;1;;1
Subtotal: SIAMBRETTA;7;2;;9
;;;;
INDIAN;;;;
        INDIAN SCOUT BOBBER;1;;2;3
        INDIAN SUPER CHIEF LIMITED;2;;;2
        INDIAN CHALLENGER;;;1;1
        INDIAN SCOUT 1130;;1;;1
Subtotal: INDIAN;3;1;3;7
;;;;
MV AGUSTA;;;;
        MV AGUSTA TURISMO VELOCE 800 LUSSO SCS;;1;1;2
        MV AGUSTA BRUTALE 800 RR;;1;;1
        MV AGUSTA BRUTALE ROSSO;1;;;1
        MV AGUSTA TURISMO VELOCE LUSSO;1;;;1
Subtotal: MV AGUSTA;2;2;1;5
;;;;
KAYO;;;;
        KAYO K6;1;1;2;4
Subtotal: KAYO;1;1;2;4
;;;;
POLARIS;;;;
        POLARIS SPORTSMAN 570 EFI;2;;;2
        POLARIS SPORTSMAN TOURING 570 EFI;;;1;1
        POLARIS SPORTSMAN TOURING XP 1000;1;;;1
Subtotal: POLARIS;3;;1;4
;;;;
;;;;
         1959;1;;;1
         PC50;1;;;1
         VESPA 125 CC;;;1;1
Subtotal:;2;;1;3
;;;;
GAMMA;;;;
        GAMMA MOUNTAINEER 800 LTD;;2;1;3
Subtotal: GAMMA;;2;1;3
;;;;
HARLEY DAVIDSON;;;;
        HARLEY DAVIDSON FLHCS HERITAGE CLASSIC 114;;;1;1
        HARLEY DAVIDSON PAN AMERICA 1250 SPECIAL;;;1;1
        HARLEY DAVIDSON SPORTEK;1;;;1
Subtotal: HARLEY DAVIDSON;1;;2;3
;;;;
MOTO GUZZI;;;;
        MOTO GUZZI V85 TT;1;2;;3
Subtotal: MOTO GUZZI;1;2;;3
;;;;
NUUV;;;;
        NUUV N SPORT;1;1;1;3
Subtotal: NUUV;1;1;1;3
;;;;
OTROS;;;;
        OTROS;2;;;2
        OTROS EXTRA 200;1;;;1
Subtotal: OTROS;3;;;3
;;;;
VOGE;;;;
        VOGE 300 AC;;2;;2
        VOGE 500DS;1;;;1
Subtotal: VOGE;1;2;;3
;;;;
DKW;;;;
        DKW DKW150 RT;1;;;1
        DKW RT 150;;1;;1
Subtotal: DKW;1;1;;2
;;;;
GUZZI;;;;
        GUZZI CARDELLINO 2DA SERIE;;1;;1
        GUZZI LODOLA 175;1;;;1
Subtotal: GUZZI;1;1;;2
;;;;
JUNIORS;;;;
        JUNIORS JUNIORS;;1;;1
        JUNIORS JUNIORS 125;;;1;1
Subtotal: JUNIORS;;1;1;2
;;;;
808;;;;
        808 808;1;;;1
