Descripción;ene-23;feb-23;mar-23;Total
        KELLER KN110-8;1.608;1.383;2.013;5.004
        KELLER KN150-13;123;84;134;341
        KELLER KN150GY;82;61;66;209
        KELLER KN200GY;25;15;7;47
        KELLER KN250GY;8;3;12;23
Subtotal: KELLER;1.846;1.546;2.232;5.624
;;;;
YAMAHA;;;;
        YAMAHA YBR 125 ED;822;354;311;1.487
        YAMAHA T110;426;373;446;1.245
        YAMAHA FZ FI;217;133;156;506
        YAMAHA XTZ 125 E;214;123;155;492
        YAMAHA FZ-S FI D;123;117;161;401
        YAMAHA YBR 125 Z;68;91;211;370
        YAMAHA FZ 25;91;74;78;243
        YAMAHA FASCINO 125 FI;84;55;70;209
        YAMAHA RAY ZR 125 FI;53;35;72;160
        YAMAHA CYGNUS RAY ZR;63;33;35;131
        YAMAHA XTZ 250 ABS;45;24;20;89
        YAMAHA NM-X 155;33;11;4;48
        YAMAHA YFM 700 R;18;9;4;31
        YAMAHA XTZ 150;3;5;6;14
        YAMAHA MT 03A;4;1;7;12
        YAMAHA SZ 15 RR;4;1;2;7
        YAMAHA NMAX CONNECTED;;;6;6
        YAMAHA XTZ 250;3;;;3
        YAMAHA FZ-S FI;1;1;;2
        YAMAHA SUPER TENERE;2;;;2
        YAMAHA DT 125;;1;;1
        YAMAHA RD 400;1;;;1
        YAMAHA RX 125;1;;;1
        YAMAHA YBR 125;;;1;1
        YAMAHA YZ 250;1;;;1
        YAMAHA YZ 250 F;;;1;1
Subtotal: YAMAHA;2.277;1.441;1.746;5.464
;;;;
GUERRERO;;;;
        GUERRERO G110 TRIP;577;555;632;1.764
        GUERRERO G125 TRIP;53;49;68;170
        GUERRERO GC150 URBAN;45;36;41;122
        GUERRERO GT70;32;25;50;107
        GUERRERO GXL 150 TUNDRA;13;30;23;66
        GUERRERO G3R200;6;4;1;11
        GUERRERO GXR250 TUNDRA;3;1;1;5
        GUERRERO GRM 150;1;;;1
Subtotal: GUERRERO;730;700;816;2.246
;;;;
BENELLI;;;;
        BENELLI TNT 15;114;134;119;367
        BENELLI TRK 502 X;125;71;128;324
        BENELLI 302 S;110;91;119;320
        BENELLI 180 S;72;70;104;246
        BENELLI TRK 502;80;62;87;229
        BENELLI TRK 251;74;52;64;190
        BENELLI LEONCINO 250;29;24;40;93
        BENELLI 752S;21;23;21;65
        BENELLI TNT 600;16;21;22;59
        BENELLI LEONCINO 500;20;14;19;53
        BENELLI 502C;18;12;18;48
        BENELLI IMPERIALE 400;20;7;13;40
        BENELLI TNT 135;4;2;5;11
        BENELLI 302 R;1;1;1;3
        BENELLI TNT 600 GT;3;;;3
        BENELLI TNT 25;;1;1;2
        BENELLI TNT 300;;1;1;2
Subtotal: BENELLI;707;586;762;2.055
;;;;
ROYAL ENFIELD;;;;
        ROYAL ENFIELD INTERCEPTOR 650;127;107;192;426
        ROYAL ENFIELD HIMALAYAN 411;180;90;138;408
        ROYAL ENFIELD CLASSIC 350;76;58;98;232
        ROYAL ENFIELD METEOR 350;114;63;55;232
        ROYAL ENFIELD SCRAM;67;39;40;146
